Taxa,Origin,Body.Length.Grat,Microscope.Corr.Fac,Cup,Cup.Weight(g),Body.Length(mm),Cup.Org.Weight(g),Org.Weight(g),Comments
Ephemeroptera,Toledo,70,10,1,0.508,10,0.51005,0.00205,Body measured from head to tail BEFORE three way split
Ephemeroptera,Toledo,48,10,2,0.511,6.8571428571,0.51146,0.00046,out at 9:30 on 28/04/17
Ephemeroptera,Toledo,73,10,3,0.511,10.4285714286,0.51574,0.00474,
Ephemeroptera,Toledo,75,10,4,0.506,10.7142857143,0.50945,0.00345,
Ephemeroptera,Toledo,64,10,5,0.508,9.1428571429,0.51025,0.00225,
Ephemeroptera,Toledo,75,10,6,0.506,10.7142857143,0.50965,0.00365,
Ephemeroptera,Toledo,62,10,7,0.51,8.8571428571,0.51124,0.00124,
Ephemeroptera,Toledo,68.5,10,8,0.516,9.7857142857,0.51854,0.00254,
Ephemeroptera,Toledo,70,10,9,0.509,10,0.51332,0.00432,
Ephemeroptera,Toledo,51,10,10,0.516,7.2857142857,0.51666,0.00066,
Ephemeroptera,Toledo,71,10,11,0.51,10.1428571429,0.51532,0.00532,
Ephemeroptera,Toledo,66,10,12,0.514,9.4285714286,0.51581,0.00181,
Ephemeroptera,Toledo,61,10,13,0.512,8.7142857143,0.51383,0.00183,
Ephemeroptera,Toledo,68,10,14,0.511,9.7142857143,0.51378,0.00278,
Ephemeroptera,Toledo,64,10,15,0.511,9.1428571429,0.51297,0.00197,
Ephemeroptera,Toledo,65,10,16,0.514,9.2857142857,0.51577,0.00177,
Ephemeroptera,Toledo,45,10,17,0.5135,6.4285714286,0.51401,0.00051,
Ephemeroptera,Toledo,54,10,18,0.513,7.7142857143,0.51348,0.00048,
Ephemeroptera,Toledo,55,10,19,0.51,7.8571428571,0.51099,0.00099,
Ephemeroptera,Toledo,73,10,20,0.51,10.4285714286,0.51312,0.00312,
Ephemeroptera,Toledo,59,10,21,0.506,8.4285714286,0.50665,0.00065,
Ephemeroptera,Toledo,49,10,22,0.5,7,0.5046,0.0046,
Ephemeroptera,Toledo,53,10,23,0.502,7.5714285714,0.50256,0.00056,
Ephemeroptera,Toledo,61,10,24,0.5035,8.7142857143,0.50529,0.00179,
