,Genus,Strategy,Site,Ea,Ea_se,b0,b0_se
1,Chironomus,a2D,Porto,0.313546056,0.006668953,0.4216524,0.264627484
2,Chironomus,a3D,Porto,0.313546056,0.006668953,0.05590697,0.264627484
3,Chironomus,s2D,Porto,0.807697267,9.11E-16,0.09219867,3.62E-14
4,Chironomus,s3D,Porto,0.807697267,9.76E-16,0.01222464,3.87E-14
5,Chironomus,a2D,Evora,0.288393941,0.006287649,0.5879357,0.249497135
6,Chironomus,a3D,Evora,0.288393941,0.006287649,0.1349654,0.249497135
7,Chironomus,s2D,Evora,0.772087855,8.30E-16,0.1540474,3.29E-14
8,Chironomus,s3D,Evora,0.772087855,8.72E-16,0.03536283,3.46E-14
9,Cloeon,a2D,Porto,0.303413164,0.002007865,1.210311,0.079673105
10,Cloeon,a3D,Porto,0.303413164,0.002007865,0.4105324,0.079673105
11,Cloeon,s2D,Porto,0.807697267,8.94E-16,0.05256336,3.55E-14
12,Cloeon,s3D,Porto,0.807697267,9.49E-16,0.01782928,3.76E-14
13,Cloeon,a2D,Evora,0.326843521,0.006658258,1.201935,0.264203121
14,Cloeon,a3D,Evora,0.326843521,0.006658258,0.9374667,0.264203121
15,Cloeon,s2D,Evora,0.772087855,8.69E-16,0.3808594,3.45E-14
16,Cloeon,s3D,Evora,0.772087855,8.82E-16,0.2970567,3.50E-14
