,Genus,Strategy,Site,Ea,Ea_se,b0,fake.b0_se,b0_se
1,Chironomus,a2D,Porto,0.19218,0.00801,0.3883451,1.370725278,0.013707253
2,Chironomus,a3D,Porto,0.025481,0.001062,0.05149074,1.04269739,0.010426974
3,Chironomus,s2D,Porto,0.194326,0.007972,0.05371403,1.3686721,0.013686721
4,Chironomus,s3D,Porto,0.025766,0.001057,0.007121954,1.042489914,0.010424899
5,Chironomus,a2D,Evora,0.3818,0.0152,0.5887528,1.819205741,0.018192057
6,Chironomus,a3D,Evora,0.08765,0.003489,0.1351529,1.14724567,0.011472457
7,Chironomus,s2D,Evora,0.3843,0.01516,0.1548856,1.816279177,0.018162792
8,Chironomus,s3D,Evora,0.08822,0.00348,0.03555525,1.146828149,0.011468281
9,Cloeon,a2D,Porto,0.338333,0.009403,1.014158,1.447974959,0.01447975
10,Cloeon,a3D,Porto,0.114761,0.003189,0.3439983,1.13378206,0.011337821
11,Cloeon,s2D,Porto,0.192214,0.007885,0.05313032,1.364011513,0.013640115
12,Cloeon,s3D,Porto,0.065198,0.002675,0.01802159,1.11104054,0.011110405
13,Cloeon,a2D,Evora,0.93982,0.03758,1.203925,4.390881482,0.043908815
14,Cloeon,a3D,Evora,0.73303,0.02931,0.9390182,3.170787564,0.031707876
15,Cloeon,s2D,Evora,0.95012,0.03748,0.3829318,4.373090643,0.043730906
16,Cloeon,s3D,Evora,0.74106,0.02923,0.2986731,3.160752082,0.031607521
