"","Genus","species","Model","site","constant_strt","E_a_strt","E_d_strt","T_pk_strt","B0_end","B0_se","Ea_end","Ea_se","Ed_end","Ed_se","Tpk_end","Tpk_se","AIC","BIC","R2","AIC.m","BIC.m","R2.m","b","b_se"
"1","Chironomus",NA,"No Mass","Toledo",25.3312196868534,1.06275518912381,2.45411338769398,291.123633501353,0.0208709113376507,0.0244420662799335,1.63599115115508,2.87335932665997,1.63607393039643,3.00854555752894,344.280856189162,16196.4031958169,-112.478866198275,-99.068210062654,0.139525828221855,-109.534933716989,-96.1242775813682,0.115444875851217,"NA","NA"
"2","Chironomus",NA,"No Mass","Evora",31.6121745375141,0.607323184834564,2.20000720598361,316.434608803019,0.0174046533862889,0.00270224367172753,1.28683868119645,0.388760677581491,1.2870959323072,0.2531397032022,353.15,5840.07082026899,-390.250470447839,-374.751138308718,0.276946328360325,-386.196657954433,-370.697325815312,0.258527399844408,"NA","NA"
"3","Chironomus",NA,"No Mass","Porto",6.6289958867426,1.33972378562059,2.23425997613816,326.200527193552,0.0301109531113464,0.0134415929166087,0.697487300814838,0.479762014746024,0.715899902131131,0.36058100754108,353.15,623.324142114771,-198.907472668676,-185.405070839714,0.323011391262844,-192.767162776011,-179.264760947049,0.281376661555007,"NA","NA"
"4","Chironomus",NA,"No Mass","Penalara",32.5955572194195,1.89203715663659,2.35916949730554,312.667758661579,0.00728006437924269,0.00138783236928744,0.922114243134763,0.087343245413168,7.32033008501698,5.81814593922939,313.693093425918,2.58317893697521,-254.198197042164,-241.222597791491,0.643214699951677,-218.41647426936,-205.440875018687,0.45269624263356,"NA","NA"
"5","Cloeon","dipterum","No Mass","Murcia",10.5774635985839,2.37994530429876,0.229615958519505,330.606734054431,0.0358115028171519,0.00837393443379257,0.917180352038479,0.246470390852866,1.48237304151298,1.29745933464704,315.984253352387,10.0686950786345,-12.2498759479938,-2.49365735508668,0.630271919657025,6.18734129329537,15.9435598862025,0.413324114249895,"NA","NA"
"6","Cloeon","dipterum","No Mass","Toledo",71.1305024395121,3.40800307317567,0.264131256980167,322.740039018104,0.01415875356911,0.00273714647645181,1.56193833300991,0.147625220488974,2.23307771470622,0.35259145738298,310.130681557164,1.33504062493532,14.520421991253,26.7921584725206,0.744135376312396,28.9862099083824,41.25794638965,0.695178622368149,"NA","NA"
"7","Cloeon","dipterum","No Mass","Evora",10.4528288400563,2.03672908463379,0.417107536335046,332.318701181205,0.0948751122373302,0.0192433490886688,0.913352712995997,0.37023867905703,0.920003986241407,0.250637391721731,353.15,951.454383176189,91.3617270692037,104.818466480349,0.479524703911137,91.3617400892888,104.818479500435,0.47952464174019,"NA","NA"
"8","Cloeon","dipterum","No Mass","Porto",27.7174898219118,0.466233805809963,1.08137081753755,277.172237884111,0.0677389226096938,0.00683333213242226,0.848098664240849,0.0845443045623282,1.88739823215648,0.42993129743408,310.744665938752,0.969189281590285,-20.8799723569662,-7.75510829054487,0.63734976674636,-12.8538084911016,0.271055575319708,0.606805037607024,"NA","NA"
"9","Sympetrum","striolatum","No Mass","Toledo",6.73627750874289,0.177505895795548,0.334247819963283,299.573052953795,0.0142487210022367,0.00322076445959278,1.64968927623736,0.704777849477245,1.64975441017552,1.08379578410813,353.15,45395.4653026321,-33.6540361841107,-22.0665956164292,0.264474165520198,-33.5442490973879,-21.9568085297063,0.263389244729571,"NA","NA"
"10","Sympetrum","striolatum","No Mass","Evora",28.7777781127497,0.950297056418812,1.35328571711082,308.582894037071,0.247530971103047,0.0328457352465624,0.752602853242194,0.0855308630623556,2.93942859651086,0.443522459710018,307.484349600387,1.12901890506181,289.209880660786,302.757531667348,0.426168345788587,297.545948175195,311.093599181756,0.372810539885261,"NA","NA"
"11","Sympetrum","striolatum","No Mass","Porto",42.0300656634323,0.597618834573531,0.784926342999838,323.764431807503,0.0659136539843542,0.010755600087757,0.873031201444122,0.0932122003086221,3.51219024353192,1.00615136473661,310.474230702631,1.33438972689873,130.369515762802,143.085989674152,0.422770226462908,152.135901556468,164.852375467818,0.27161026517317,"NA","NA"
"12","Sympetrum","striolatum","No Mass","Jaca",33.0258499236654,1.91357410917039,0.0425838549741395,325.28039865706,0.0659769227593218,0.0195965476420521,1.5656923180855,0.466893664370019,1.91832613458857,0.322229480217817,302.434597268593,2.62084722752866,11.8480930104439,24.9236955946501,0.0144126670267318,11.8480931801772,24.9236957643835,0.0144126653704245,"NA","NA"
"13","Chironomus",NA,"0.75 Mass Corrected","Toledo",29.0285137056295,0.658710851344816,2.45411338769398,311.816655315564,0.0746961619465667,0.0211469255116506,1.24077902804524,0.689958443773001,1.24105278171853,0.470634901456877,353.15,8719.70151103976,11.4147668805307,24.8254230161518,0.202221891230105,13.4769766888014,26.8876328244225,0.186598866937899,"NA","NA"
"14","Chironomus",NA,"0.75 Mass Corrected","Evora",35.7676362611668,1.58244576304825,2.20000720598361,338.270997596354,0.0489213718560588,0.00373102738988393,0.596336279174291,0.037567892777203,27.0955324027801,431405.614557543,316.492752009078,21062.6510128587,-280.941497496668,-265.442165357546,0.675710943353872,-206.681912815884,-191.182580676763,0.456915495574579,"NA","NA"
