,Genus,species,Model,site,constant_strt,E_a_strt,E_d_strt,T_pk_strt,B0_end,B0_se,Ea_end,Ea_se,Ed_end,Ed_se,Tpk_end,Tpk_se,AIC,BIC,R2,AIC.m,BIC.m,R2.m,b,b_se
1,Chironomus,NA,No Mass,Toledo,35.44955578,1.81336296,2.454113388,302.1198453,0.045786666,0.109174337,1.558392438,2.586885204,1.558470404,2.754848021,348.1507782,20922.9017,-112.9677585,-99.5571024,0.143412203,-109.148382,-95.73772587,0.112247475,NA,NA
2,Chironomus,NA,No Mass,Evora,19.38196919,0.683864188,2.200007206,331.6732477,0.042789225,0.014297349,1.284261274,0.387961268,1.284523381,0.251732305,353.15,5766.3733,-390.275727,-374.7763949,0.277057673,-387.2752491,-371.775917,0.263407832,NA,NA
3,Chironomus,NA,No Mass,Porto,13.45756755,0.177273989,2.234259975,315.6429019,0.039253749,0.024038555,0.69748729,0.479761903,0.715899892,0.360580974,353.15,623.3240007,-198.9074722,-185.4050704,0.323011388,-191.5624648,-178.060063,0.273521161,NA,NA
4,Chironomus,NA,No Mass,Penalara,24.33194772,3.387504775,2.359169495,325.5126074,0.005091562,0.001123555,0.922114232,0.087343251,7.320330748,5.818148688,313.6930937,2.583179763,-254.1981968,-241.2225975,0.643214699,-220.3775844,-207.4019851,0.462614135,NA,NA
5,Cloeon,dipterum,No Mass,Murcia,37.92204047,1.561031667,0.229615959,325.4238583,0.074287447,0.012566625,0.917180349,0.246470394,1.482373153,1.297459429,315.9842523,10.06869111,-12.24987644,-2.493657849,0.630271923,2.293135482,12.04935407,0.45901178,NA,NA
6,Cloeon,dipterum,No Mass,Toledo,60.94172181,4.270667706,0.264131257,322.8681295,0.030703279,0.004424683,1.561938342,0.147625224,2.233077699,0.352591433,310.1306815,1.335040639,14.5204217,26.79215818,0.744135377,24.6536519,36.92538839,0.709789071,NA,NA
7,Cloeon,dipterum,No Mass,Evora,22.19412894,0.154082419,0.417107536,303.8235384,0.179744978,0.072339361,0.913352688,0.370238891,0.920003963,0.25063756,353.15,951.4549951,91.36172779,104.8184672,0.4795247,91.36173971,104.8184791,0.479524644,NA,NA
8,Cloeon,dipterum,No Mass,Porto,24.4096297,0.985714322,1.081370818,330.8674813,0.093510671,0.007388932,0.848098663,0.084544303,1.887398258,0.429931318,310.7446659,0.969189265,-20.87997242,-7.755108353,0.637349767,-12.17363108,0.951232983,0.604023955,NA,NA
9,Sympetrum,striolatum,No Mass,Toledo,23.68768266,3.736021473,0.33424782,322.9004777,0.053017929,0.026648454,1.60347462,0.234767834,1.603526153,0.458091091,353.15,37214.42861,-29.30461892,-17.92128833,0.209851549,-29.15454628,-17.77121568,0.208202477,NA,NA
10,Sympetrum,striolatum,No Mass,Evora,34.01757157,1.275590579,1.353285717,291.8698858,0.419076482,0.038283475,0.752602863,0.085530864,2.939428582,0.443522447,307.4843495,1.129018927,289.2098807,302.7575317,0.426168346,300.128356,313.676007,0.356277865,NA,NA
11,Sympetrum,striolatum,No Mass,Porto,32.02329747,0.847148203,1.694296406,308.15,0.091857515,0.012473118,0.873031202,0.0932122,3.512190293,1.006151384,310.4742307,1.334389726,130.3695155,143.0859894,0.422770228,152.4794208,165.1958947,0.269221667,NA,NA
