"","Genus","species","Model","site","constant_strt","E_a_strt","E_d_strt","T_pk_strt","B0_end","B0_se","Ea_end","Ea_se","Ed_end","Ed_se","Tpk_end","Tpk_se","AIC","BIC","R2","AIC.m","BIC.m","R2.m","b","b_se"
"1","Chironomus",NA,"No Mass","Toledo",3.72772169037426,0.293808236353722,2.45411338769398,277.733520915955,0.0254118835013292,0.0386876066972686,1.63979514594876,2.91574559115043,1.63987832628914,3.04695737275324,344.089731584564,15852.7896787496,-112.451163154881,-99.0405070192603,0.139305079972889,-109.537386382722,-96.1267302471011,0.115476519195825,"NA","NA"
"2","Chironomus",NA,"No Mass","Evora",28.3890670793171,0.845587617766506,2.20000720598361,354.583449034643,0.0314266884142652,0.00801062171831411,1.28392962109472,0.387859104997024,1.28419235947153,0.251553154732958,353.15,5756.93164007094,-390.278956657582,-374.779624518461,0.277071909273933,-384.786076469788,-369.286744330667,0.252084008819742,"NA","NA"
"3","Chironomus",NA,"No Mass","Porto",25.8228089471543,1.37337653429853,2.23425997613816,334.360132932099,0.0357479654312282,0.0197559657180607,0.697487285868184,0.479761992911721,0.715899888822282,0.360580905798459,353.15,623.323987952192,-198.907472090549,-185.405070261587,0.323011387704795,-191.568360500076,-178.065958671114,0.273326008551604,"NA","NA"
"4","Chironomus",NA,"No Mass","Penalara",9.55213753880211,1.56763804394129,2.35916949730554,350.849279008636,0.00326407082682692,0.000846499516963476,0.922114234304013,0.0873432455966813,7.32033069517612,5.81814793486731,313.69309370143,2.58317947895304,-254.198196949347,-241.222597698674,0.643214699617175,-217.737620737105,-204.762021486432,0.448942521083862,"NA","NA"
"5","Cloeon","dipterum","No Mass","Murcia",21.3960122147862,3.59144927392879,0.229615958519505,323.856264263248,0.0629536395441034,0.0104935995349035,0.917180360537556,0.246470396458824,1.48237309485898,1.29745935546358,315.984252684561,10.0686933307633,-12.2498765362035,-2.49365794329632,0.630271923839287,-0.0711950926221364,9.68502350028499,0.489432517654444,"NA","NA"
"6","Cloeon","dipterum","No Mass","Toledo",71.1305024395121,3.40800307317567,0.264131256980167,322.740039018104,0.0170872994496086,0.0030735731852323,1.56193833477838,0.147625225801708,2.23307770857418,0.35259144848679,310.130681543497,1.3350406379722,14.5204219723812,26.7921584536487,0.744135376368543,27.9039040725511,40.1756405538187,0.698919031573189,"NA","NA"
"7","Cloeon","dipterum","No Mass","Evora",16.879640085263,4.13876823690306,0.417107536335046,323.085314310811,0.144323085467789,0.0468408974013422,0.913352691685933,0.370238728132184,0.920003966177361,0.250637486471489,353.15,951.454526745707,91.3617273138414,104.818466724987,0.479524702742991,91.3617390509362,104.818478462082,0.479524646698327,"NA","NA"
"8","Cloeon","dipterum","No Mass","Porto",8.06766011805959,0.602673175586966,1.08137081753755,299.670961797061,0.0834560824809857,0.00717688857981383,0.848098664475642,0.0845443023638022,1.88739825549894,0.429931318670392,310.744665913323,0.969189253272007,-20.8799724430422,-7.75510837662092,0.637349767052395,-12.8044842044317,0.320379861989638,0.606392180906837,"NA","NA"
"9","Sympetrum","striolatum","No Mass","Toledo",11.4157234463235,1.72274571914507,0.334247819963283,332.744220508563,0.0173745814814417,0.00447324871733558,1.64994132460014,0.698554281862678,1.65000634715067,1.07765981398075,353.15,45474.5296066375,-33.6537456983546,-22.0663051306731,0.264471316717639,-33.4222783903682,-21.8348378226867,0.262186989848976,"NA","NA"
"10","Sympetrum","striolatum","No Mass","Evora",28.7777781127497,0.950297056418812,1.35328571711082,308.582894037071,0.349742813140359,0.0362103438856556,0.752602848766968,0.0855308648953409,2.93942861393868,0.443522454858789,307.484349665024,1.12901893656396,289.209880394311,302.757531400873,0.42616834716617,296.579818456825,310.127469463387,0.378992530546032,"NA","NA"
